source	specimen	id	read_pairs	yield	n50	kmer	haploid	repeat	het	species	cultivar	origin	gbp	ssid
hic-arima2	drMalSylv7					31	1051940249	70.55	0.32	Malus sylvestris	Wild	Markus?		""
10x	drMalSylv7					31	753929234	47.41	0.94	Malus sylvestris	Wild	Markus?		""
10x	drMalSylv7					21	769337654	57.57	1.03	Malus sylvestris	Wild	Markus?		""
10x	drMalSylv7					31	760139296	48.32	0.96	Malus sylvestris	Wild	Markus?		""
pacbio	drMalSylv7	84821	0	11239599678	14410	31	717582920	44.88	0.88	Malus sylvestris	Wild	Markus?		""
pacbio	drMalSylv7	85267	0	7379265943	13916	31	717582920	44.88	0.88	Malus sylvestris	Wild	Markus?		""
pacbio	drMalSylv7	84821	0	11239599678	14410	21	717130205	54.96	0.97	Malus sylvestris	Wild	Markus?		""
pacbio	drMalSylv7	85267	0	7379265943	13916	21	717130205	54.96	0.97	Malus sylvestris	Wild	Markus?		""
pacbio	drMalSylv7	84821	0	11239599678	14410	31	713175580	45.55	0.97	Malus sylvestris	Wild	Markus?		""
pacbio	drMalSylv7	85267	0	7379265943	13916	31	713175580	45.55	0.97	Malus sylvestris	Wild	Markus?		""
hic-arima2	drMalDome58					31	865044875	98.31	3.41	Malus domestica	Newtons	Woolsthorpe Manor		""
10x	drMalDome58					31	-1	0	-100	Malus domestica	Newtons	Woolsthorpe Manor		""
10x	drMalDome58					21	1436956645	92.09	0.83	Malus domestica	Newtons	Woolsthorpe Manor		""
10x	drMalDome58					31	768305595	46.5	1.54	Malus domestica	Newtons	Woolsthorpe Manor		""
pacbio	drMalDome58	84821	0	8830973872	15866	31	-1	0	-100	Malus domestica	Newtons	Woolsthorpe Manor		""
pacbio	drMalDome58	85267	0	9376193584	15092	31	-1	0	-100	Malus domestica	Newtons	Woolsthorpe Manor		""
pacbio	drMalDome58	84821	0	8830973872	15866	21	-1	0	-100	Malus domestica	Newtons	Woolsthorpe Manor		""
pacbio	drMalDome58	85267	0	9376193584	15092	21	-1	0	-100	Malus domestica	Newtons	Woolsthorpe Manor		""
pacbio	drMalDome58	84821	0	8830973872	15866	31	682387244	43.57	1.87	Malus domestica	Newtons	Woolsthorpe Manor		""
pacbio	drMalDome58	85267	0	9376193584	15092	31	682387244	43.57	1.87	Malus domestica	Newtons	Woolsthorpe Manor		""
hic-arima2	drMalDome11					31	984187432	44.33	0.21	Malus domestica	Bardsey Island Apple	Wisley	0.81	""
10x	drMalDome11					31	705501348	44.68	1.38	Malus domestica	Bardsey Island Apple	Wisley	0.81	""
10x	drMalDome11					21	720564663	55.44	1.48	Malus domestica	Bardsey Island Apple	Wisley	0.81	""
10x	drMalDome11					31	714927771	46.29	1.39	Malus domestica	Bardsey Island Apple	Wisley	0.81	""
pacbio	drMalDome11	84821	0	18704812420	15657	31	676639167	41.7	1.26	Malus domestica	Bardsey Island Apple	Wisley	0.81	""
pacbio	drMalDome11	85267	0	10976172147	15256	31	676639167	41.7	1.26	Malus domestica	Bardsey Island Apple	Wisley	0.81	""
pacbio	drMalDome11	84821	0	18704812420	15657	21	676099820	52.44	1.36	Malus domestica	Bardsey Island Apple	Wisley	0.81	""
pacbio	drMalDome11	85267	0	10976172147	15256	21	676099820	52.44	1.36	Malus domestica	Bardsey Island Apple	Wisley	0.81	""
pacbio	drMalDome11	84821	0	18704812420	15657	31	675518651	42.11	1.26	Malus domestica	Bardsey Island Apple	Wisley	0.81	""
pacbio	drMalDome11	85267	0	10976172147	15256	31	675518651	42.11	1.26	Malus domestica	Bardsey Island Apple	Wisley	0.81	""
hic-arima2	drMalDome5					31	982514284	68.98	0.66	Malus domestica	Costard	Kew	0.83	""
10x	drMalDome5					31	726726919	45.93	1.32	Malus domestica	Costard	Kew	0.83	""
10x	drMalDome5					21	747377638	56.69	1.4	Malus domestica	Costard	Kew	0.83	""
10x	drMalDome5					31	739459714	47.8	1.32	Malus domestica	Costard	Kew	0.83	""
pacbio	drMalDome5	84820	0	9393832520	12609	31	705432107	43.95	1.18	Malus domestica	Costard	Kew	0.83	""
pacbio	drMalDome5	85267	0	9244682419	12402	31	705432107	43.95	1.18	Malus domestica	Costard	Kew	0.83	""
pacbio	drMalDome5	84820	0	9393832520	12609	21	707790510	54.04	1.25	Malus domestica	Costard	Kew	0.83	""
pacbio	drMalDome5	85267	0	9244682419	12402	21	707790510	54.04	1.25	Malus domestica	Costard	Kew	0.83	""
pacbio	drMalDome5	84820	0	9393832520	12609	31	702958127	44.21	1.2	Malus domestica	Costard	Kew	0.83	""
pacbio	drMalDome5	85267	0	9244682419	12402	31	702958127	44.21	1.2	Malus domestica	Costard	Kew	0.83	""
hic-arima2	drMalDome10					31	505799748	58.44	21.43	Malus domestica	Brown Snout	Wisley	0.82	""
10x	drMalDome10					31	707212966	44.34	1.41	Malus domestica	Brown Snout	Wisley	0.82	""
10x	drMalDome10					21	726052657	55.53	1.48	Malus domestica	Brown Snout	Wisley	0.82	""
10x	drMalDome10					31	722521946	46.54	1.4	Malus domestica	Brown Snout	Wisley	0.82	""
pacbio	drMalDome10	84821	0	12418180331	15568	31	684472688	42.43	1.28	Malus domestica	Brown Snout	Wisley	0.82	""
pacbio	drMalDome10	85268	0	9405950743	14893	31	684472688	42.43	1.28	Malus domestica	Brown Snout	Wisley	0.82	""
pacbio	drMalDome10	84821	0	12418180331	15568	21	684006310	53	1.37	Malus domestica	Brown Snout	Wisley	0.82	""
pacbio	drMalDome10	85268	0	9405950743	14893	21	684006310	53	1.37	Malus domestica	Brown Snout	Wisley	0.82	""
pacbio	drMalDome10	84821	0	12418180331	15568	31	683540670	42.96	1.29	Malus domestica	Brown Snout	Wisley	0.82	""
pacbio	drMalDome10	85268	0	9405950743	14893	31	683540670	42.96	1.29	Malus domestica	Brown Snout	Wisley	0.82	""
illumina	drMalDome37	39617#23	386393240	58345379240	0	31	721116201	45.69	1.18	Malus domestica	Early Julyan	RBGE Living Collections		AppleDay10498813
illumina	drMalDome37	39617#23	386393240	58345379240	0	21	723761492	55.57	1.28	Malus domestica	Early Julyan	RBGE Living Collections		AppleDay10498813
illumina	drMalDome37	39617#23	386393240	58345379240	0	31	720176422	45.96	1.19	Malus domestica	Early Julyan	RBGE Living Collections		AppleDay10498813
illumina	drMalDome28	39617#31	360394726	54419603626	0	31	679243994	42.89	1.16	Malus domestica	Bloody Ploughman	RBGE Living Collections		AppleDay10498821
illumina	drMalDome28	39617#31	360394726	54419603626	0	21	682683166	53.22	1.27	Malus domestica	Bloody Ploughman	RBGE Living Collections		AppleDay10498821
illumina	drMalDome28	39617#31	360394726	54419603626	0	31	678007403	43.02	1.17	Malus domestica	Bloody Ploughman	RBGE Living Collections		AppleDay10498821
	?									Malus domestica	Alderman	RBGE Living Collections		""
illumina	drMalDome29	39617#30	360919358	54498823058	0	31	693675736	43.99	1.25	Malus domestica	Lass o Gowrie	RBGE Living Collections		AppleDay10498820
illumina	drMalDome29	39617#30	360919358	54498823058	0	21	696591719	54.09	1.35	Malus domestica	Lass o Gowrie	RBGE Living Collections		AppleDay10498820
illumina	drMalDome29	39617#30	360919358	54498823058	0	31	691821003	44.16	1.25	Malus domestica	Lass o Gowrie	RBGE Living Collections		AppleDay10498820
	?									Malus domestica	Port Allen Russet	RBGE Living Collections		""
	?									Malus domestica	White Paradise	RBGE Living Collections		""
illumina	drMalDome33	39617#26	355159180	53629036180	0	31	689931788	44.1	1.13	Malus domestica	Red Windsor	RBGE Living Collections		AppleDay10498816
illumina	drMalDome33	39617#26	355159180	53629036180	0	21	695753999	54.25	1.24	Malus domestica	Red Windsor	RBGE Living Collections		AppleDay10498816
illumina	drMalDome33	39617#26	355159180	53629036180	0	31	687260940	43.95	1.13	Malus domestica	Red Windsor	RBGE Living Collections		AppleDay10498816
illumina	drMalDome30	39617#29	341280104	51533295704	0	31	698884327	42.36	0.83	Malus domestica	Bramleys Seedling Clone20	RBGE Living Collections		AppleDay10498819
illumina	drMalDome30	39617#29	341280104	51533295704	0	21	699779308	52.98	0.87	Malus domestica	Bramleys Seedling Clone20	RBGE Living Collections		AppleDay10498819
illumina	drMalDome30	39617#29	341280104	51533295704	0	31	696766425	43.8	0.88	Malus domestica	Bramleys Seedling Clone20	RBGE Living Collections		AppleDay10498819
illumina	drMalDome38	39617#22	340232722	51375141022	0	31	682363233	43.21	1.2	Malus domestica	Egremont Russet	RBGE Living Collections		AppleDay10498812
illumina	drMalDome38	39617#22	340232722	51375141022	0	21	686400444	53.5	1.31	Malus domestica	Egremont Russet	RBGE Living Collections		AppleDay10498812
illumina	drMalDome38	39617#22	340232722	51375141022	0	31	681250341	43.37	1.21	Malus domestica	Egremont Russet	RBGE Living Collections		AppleDay10498812
illumina	drMalDome34	39617#25	307437430	46423051930	0	31	706500256	44.47	1.05	Malus domestica	Pixie	RBGE Living Collections		AppleDay10498815
illumina	drMalDome34	39617#25	307437430	46423051930	0	21	712885685	54.79	1.14	Malus domestica	Pixie	RBGE Living Collections		AppleDay10498815
illumina	drMalDome34	39617#25	307437430	46423051930	0	31	707545751	44.82	1.07	Malus domestica	Pixie	RBGE Living Collections		AppleDay10498815
illumina	drMalDome39	39617#21	293431896	44308216296	0	31	685422728	43.57	1.18	Malus domestica	Discovery	RBGE Living Collections		AppleDay10498811
illumina	drMalDome39	39617#21	293431896	44308216296	0	21	689614923	53.75	1.28	Malus domestica	Discovery	RBGE Living Collections		AppleDay10498811
illumina	drMalDome39	39617#21	293431896	44308216296	0	31	684626970	43.86	1.19	Malus domestica	Discovery	RBGE Living Collections		AppleDay10498811
illumina	drMalDome27	39617#32	373484916	56396222316	0	31	687366841	43.48	1.15	Malus domestica	James Grieve	RBGE Living Collections		AppleDay10498822
illumina	drMalDome27	39617#32	373484916	56396222316	0	21	690039487	53.69	1.25	Malus domestica	James Grieve	RBGE Living Collections		AppleDay10498822
illumina	drMalDome27	39617#32	373484916	56396222316	0	31	685727640	43.54	1.16	Malus domestica	James Grieve	RBGE Living Collections		AppleDay10498822
illumina	drMalDome42	39617#18	309602864	46750032464	0	31	694538215	43.99	1.05	Malus domestica	Laxton’s Superb	RBGE Living Collections		AppleDay10498808
illumina	drMalDome42	39617#18	309602864	46750032464	0	21	698328884	54.11	1.16	Malus domestica	Laxton’s Superb	RBGE Living Collections		AppleDay10498808
illumina	drMalDome42	39617#18	309602864	46750032464	0	31	694254576	44.18	1.07	Malus domestica	Laxton’s Superb	RBGE Living Collections		AppleDay10498808
illumina	drMalDome40	39617#20	360283114	54402750214	0	31	678827585	42.56	1.12	Malus domestica	Newton Wonder	RBGE Living Collections		AppleDay10498810
illumina	drMalDome40	39617#20	360283114	54402750214	0	21	683244726	53.05	1.22	Malus domestica	Newton Wonder	RBGE Living Collections		AppleDay10498810
illumina	drMalDome40	39617#20	360283114	54402750214	0	31	677793142	42.71	1.12	Malus domestica	Newton Wonder	RBGE Living Collections		AppleDay10498810
illumina	drMalDome41	39617#19	324055142	48932326442	0	31	681730833	42.98	1.17	Malus domestica	Ellisons Orange	RBGE Living Collections		AppleDay10498809
illumina	drMalDome41	39617#19	324055142	48932326442	0	21	685570614	53.34	1.27	Malus domestica	Ellisons Orange	RBGE Living Collections		AppleDay10498809
illumina	drMalDome41	39617#19	324055142	48932326442	0	31	680635153	43.2	1.18	Malus domestica	Ellisons Orange	RBGE Living Collections		AppleDay10498809
illumina	drMalDome35	39617#24	370318248	55918055448	0	31	698189004	44.25	1.17	Malus domestica	Red Bountiful	RBGE Living Collections		AppleDay10498814
