# BUSCO version is: 5.0.0 
# The lineage dataset is:  (Creation date: 2020-09-10, number of species: 31, number of BUSCOs: 2326)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
2at71240	Complete	SUPER_5	2153123	2187073	-	5198.4	4198
10at71240	Duplicated	SUPER_9	5104709	5123230	+	7135.7	4051
10at71240	Duplicated	SUPER_17	5320420	5340041	+	7139.5	3998
17at71240	Complete	SUPER_16	313616	331143	-	6667.5	3903
86at71240	Complete	SUPER_10	12210203	12226851	-	5412.6	3168
204at71240	Complete	SUPER_12	31618988	31639383	-	3901.1	2221
224at71240	Complete	SUPER_1	16824001	16842932	-	2826.5	1927
265at71240	Complete	SUPER_17	15710380	15721294	-	2733.0	1597
312at71240	Complete	SUPER_15	7885189	7904030	+	3484.6	2005
355at71240	Duplicated	SUPER_2	3251622	3264469	-	4147.9	2106
355at71240	Duplicated	SUPER_15	14130854	14143712	-	4271.8	2160
368at71240	Duplicated	SUPER_12	404247	437086	+	2681.9	1691
368at71240	Duplicated	SUPER_14	324314	342935	+	2748.8	1678
383at71240	Duplicated	SUPER_9	3240211	3247370	+	2622.0	1677
383at71240	Duplicated	SUPER_17	3615102	3622196	+	2622.6	1680
491at71240	Complete	SUPER_7	31057657	31071416	+	2185.1	1703
526at71240	Complete	SUPER_12	8926588	8947405	-	2669.1	1549
561at71240	Duplicated	SUPER_3	44013	70523	+	2829.3	1626
561at71240	Duplicated	SUPER_11	2494	25257	-	2865.3	1640
597at71240	Duplicated	SUPER_7	23571781	23586516	-	2630.3	1455
597at71240	Duplicated	SUPER_1	18341092	18350036	-	2883.2	1549
640at71240	Complete	SUPER_2	2604503	2619161	-	2590.5	1614
703at71240	Complete	SUPER_10	32723328	32735843	-	2693.8	1542
707at71240	Duplicated	SUPER_5	35682265	35696986	+	2951.8	1526
707at71240	Duplicated	SUPER_10	32952350	32967134	+	3026.9	1526
727at71240	Complete	SUPER_17	1603298	1618269	-	2495.4	1593
745at71240	Complete	SUPER_12	5451631	5470577	-	2686.9	1627
769at71240	Complete	SUPER_8	10337928	10351840	-	2817.6	1600
779at71240	Complete	SUPER_8	8945570	8954462	-	2046.1	1319
793at71240	Duplicated	SUPER_12	4246999	4262638	-	2550.2	1820
793at71240	Duplicated	SUPER_14	3859381	3874902	-	2576.3	1824
836at71240	Duplicated	SUPER_8	20901112	20910930	+	1727.9	1650
836at71240	Duplicated	SUPER_15	43300589	43310494	+	1798.6	1775
851at71240	Duplicated	SUPER_17	4693393	4704844	-	2382.2	1374
851at71240	Duplicated	SUPER_9	4415041	4426670	-	2388.0	1374
906at71240	Complete	SUPER_7	27111881	27129594	-	1575.2	1427
916at71240	Complete	SUPER_11	37687719	37699223	-	2927.0	1656
933at71240	Duplicated	SUPER_8	28964494	28982891	-	2275.3	1318
933at71240	Duplicated	SUPER_15	52134398	52156592	-	2278.4	1332
945at71240	Duplicated	SUPER_11	3602112	3613952	-	2589.4	1529
945at71240	Duplicated	SUPER_3	3282785	3295582	-	2690.9	1493
1064at71240	Complete	SUPER_9	31164318	31183636	-	2361.7	1577
1065at71240	Duplicated	SUPER_10	13863352	13873018	+	1867.5	1364
1065at71240	Duplicated	SUPER_5	16474474	16484150	+	1881.0	1320
1115at71240	Duplicated	SUPER_6	19639401	19654314	-	2295.6	1566
1115at71240	Duplicated	SUPER_14	14614543	14629511	-	2350.2	1538
1147at71240	Fragmented	SUPER_4	6404712	6418644	+	1304.6	926
1158at71240	Complete	SUPER_3	4757106	4766829	-	2260.8	1487
1159at71240	Complete	SUPER_5	23022528	23031951	+	1718.7	1451
1162at71240	Duplicated	SUPER_4	29254657	29262507	-	2588.9	1424
1162at71240	Duplicated	SUPER_12	30718253	30725731	-	2599.2	1470
1185at71240	Complete	SUPER_1	24617025	24625957	-	1944.5	1276
1212at71240	Complete	SUPER_4	28845071	28860334	-	2344.7	1381
1291at71240	Complete	SUPER_16	3463450	3472519	+	2111.3	1356
1308at71240	Duplicated	SUPER_2	34973861	34985771	-	2396.0	1167
1308at71240	Duplicated	SUPER_7	2941627	2950647	+	2459.7	1217
1357at71240	Complete	SUPER_7	23196173	23205826	+	2164.4	1355
1506at71240	Duplicated	SUPER_7	5372835	5380194	+	2220.9	1165
1506at71240	Duplicated	SUPER_2	31765228	31777818	-	2233.7	1179
1526at71240	Duplicated	SUPER_5	37365389	37374687	-	2200.0	1187
1526at71240	Duplicated	SUPER_10	34653599	34663172	-	2244.2	1178
1566at71240	Complete	SUPER_1	25904843	25924207	+	2293.7	1230
1578at71240	Duplicated	SUPER_11	24755397	24773870	-	2164.8	1298
1578at71240	Duplicated	SUPER_3	22103060	22124851	-	2251.3	1469
1589at71240	Duplicated	SUPER_14	7950880	7956224	-	2519.1	1201
1589at71240	Duplicated	SUPER_12	8307945	8312941	-	2538.0	1201
1604at71240	Complete	SUPER_11	35183971	35192231	+	1835.5	1156
1674at71240	Duplicated	SUPER_5	28281346	28297627	+	1553.1	1195
1674at71240	Duplicated	SUPER_10	927457	951713	+	1666.8	1194
1722at71240	Duplicated	SUPER_8	1341139	1348240	+	1672.0	1037
1722at71240	Duplicated	SUPER_15	1016878	1023681	+	1865.0	1096
1950at71240	Complete	SUPER_15	11499090	11515793	-	1984.8	1235
2018at71240	Complete	SUPER_6	21422594	21430207	-	1450.8	1006
2045at71240	Complete	SUPER_12	31671483	31680568	+	2006.9	1067
2065at71240	Complete	SUPER_14	4787097	4797103	+	1877.9	1122
2073at71240	Duplicated	SUPER_9	1689258	1698989	+	2074.0	1473
2073at71240	Duplicated	SUPER_17	2233997	2243915	+	2152.4	1491
2143at71240	Complete	SUPER_2	3848772	3853013	+	2036.1	1151
2268at71240	Complete	SUPER_7	35059176	35063998	-	2275.7	1226
2327at71240	Complete	SUPER_7	13427414	13435783	-	1719.4	1020
2360at71240	Complete	SUPER_7	27105343	27110238	-	1878.8	1114
2395at71240	Complete	SUPER_13	10569384	10575967	-	2123.4	1326
2400at71240	Complete	SUPER_17	9696463	9703012	-	1556.8	980
2421at71240	Complete	SUPER_15	9419433	9425466	-	1967.7	1029
2430at71240	Complete	SUPER_14	29441926	29453456	-	2120.6	1274
2474at71240	Duplicated	SUPER_1	5364520	5375989	-	1834.7	1067
2474at71240	Duplicated	SUPER_15	35949279	35965001	-	1857.7	1055
2499at71240	Complete	SUPER_17	30331615	30343753	-	1965.8	1106
2529at71240	Duplicated	SUPER_1	29691855	29700478	+	1561.3	956
2529at71240	Duplicated	SUPER_7	35144423	35151793	+	1679.9	1095
2585at71240	Duplicated	SUPER_5	7254216	7260885	+	1709.8	1031
2585at71240	Duplicated	SUPER_10	5980861	5987011	+	1717.8	1034
2753at71240	Complete	SUPER_9	26274729	26300650	-	1929.4	1163
2869at71240	Complete	SUPER_13	12758590	12764812	-	1183.7	851
2873at71240	Duplicated	SUPER_4	29964972	29974431	+	1573.9	966
2873at71240	Duplicated	SUPER_12	31433483	31442468	+	1768.6	1034
2884at71240	Complete	SUPER_9	30820495	30831194	-	1343.0	1016
2954at71240	Duplicated	SUPER_3	6412928	6439037	+	1937.9	1098
2954at71240	Duplicated	SUPER_11	6813412	6824657	+	1971.9	1077
2956at71240	Complete	SUPER_3	25040214	25044665	+	2180.7	1168
2984at71240	Complete	SUPER_12	24040845	24052286	+	1395.3	1043
3053at71240	Complete	SUPER_7	7587302	7591102	-	2330.1	1130
3069at71240	Duplicated	SUPER_17	3025787	3029875	+	1748.3	939
3069at71240	Duplicated	SUPER_9	2559202	2563260	+	1789.8	941
3142at71240	Duplicated	SUPER_2	34583763	34589212	-	1907.5	1062
3142at71240	Duplicated	SUPER_7	3349595	3355124	+	1924.5	1072
3157at71240	Complete	SUPER_10	41716761	41723926	+	1436.9	1455
3166at71240	Complete	SUPER_11	10976024	10980649	+	2178.4	1018
3221at71240	Complete	SUPER_15	9820616	9835708	-	1206.6	664
3382at71240	Complete	SUPER_2	34516691	34525924	-	1716.9	970
3391at71240	Duplicated	SUPER_7	35040593	35048961	+	2044.9	1108
3391at71240	Duplicated	SUPER_1	29607226	29615547	+	2174.9	1104
3447at71240	Complete	SUPER_8	4178111	4181440	-	1726.6	945
3471at71240	Duplicated	SUPER_9	29216459	29242311	+	1828.6	930
3471at71240	Duplicated	SUPER_17	28538374	28562547	+	1902.3	930
3475at71240	Complete	SUPER_3:36456563-36488096	36453798	36488096	+	1629.7	1084
3500at71240	Complete	SUPER_6	124328	148506	-	1553.7	989
3501at71240	Complete	SUPER_4	2626050	2638715	-	1726.1	946
3595at71240	Complete	SUPER_10	23412139	23418683	-	1261.1	964
3633at71240	Duplicated	SUPER_2	37055427	37064524	+	1810.5	1055
3633at71240	Duplicated	SUPER_7	970820	981530	-	1836.9	1048
3639at71240	Complete	SUPER_2	15886899	15891889	+	1409.1	948
3732at71240	Complete	SUPER_15	41256204	41279739	-	1138.3	852
3734at71240	Complete	SUPER_6	32770492	32782482	+	1739.4	1041
3767at71240	Complete	SUPER_14	25504567	25510199	-	1527.4	913
3870at71240	Duplicated	SUPER_14	13376189	13383969	+	1346.9	877
3870at71240	Duplicated	SUPER_12	15333172	15341105	+	1573.3	938
3884at71240	Complete	SUPER_6	5622447	5637289	+	2117.4	1179
3897at71240	Duplicated	SUPER_12	33247	44243	-	1768.7	928
3897at71240	Duplicated	SUPER_2	13927	24755	-	1888.2	953
3930at71240	Duplicated	SUPER_3	18812852	18821668	-	1393.3	981
3930at71240	Duplicated	SUPER_11	19670433	19679327	-	1425.5	1104
3966at71240	Duplicated	SUPER_6	30770297	30777071	+	2034.0	1003
3966at71240	Duplicated	SUPER_14	25992457	25999111	+	2038.2	1003
3978at71240	Complete	SUPER_15	18418190	18430117	+	1591.3	975
4043at71240	Duplicated	SUPER_7	5222079	5257954	-	1598.9	868
4043at71240	Duplicated	SUPER_4	209893	236815	-	1730.5	998
4043at71240	Duplicated	SUPER_15	52172816	52185845	-	1825.9	987
4088at71240	Duplicated	SUPER_17	33371962	33394961	+	1203.3	932
4088at71240	Duplicated	SUPER_9	34558453	34567346	+	1396.8	974
4227at71240	Complete	SUPER_4	29981464	29994246	+	1472.2	972
4302at71240	Duplicated	SUPER_7	27591176	27595941	-	1383.7	850
4302at71240	Duplicated	SUPER_1	21922982	21928331	-	1400.4	901
4325at71240	Complete	SUPER_14	27806687	27815739	-	1242.3	868
4403at71240	Complete	SUPER_10	41867493	41871965	-	1485.5	871
4425at71240	Duplicated	SUPER_17	13469114	13487358	+	1510.5	900
4425at71240	Duplicated	SUPER_9	15159361	15169823	-	1551.1	900
4609at71240	Missing
4757at71240	Duplicated	SUPER_16	32104936	32111381	-	1127.5	630
4757at71240	Duplicated	SUPER_13	33223640	33228739	-	1163.2	657
4778at71240	Duplicated	SUPER_2	4437673	4449414	+	1608.7	886
4778at71240	Duplicated	SUPER_15	14969833	14975755	+	1626.9	885
4807at71240	Complete	SUPER_2	11105878	11113460	+	1378.0	883
4838at71240	Duplicated	SUPER_1	20414936	20425020	-	1860.6	997
4838at71240	Duplicated	SUPER_7	25982054	25992055	-	1904.7	994
4907at71240	Complete	SUPER_14	27329292	27337697	+	1266.5	800
4918at71240	Duplicated	SUPER_16	8950344	8955575	+	1047.0	763
4918at71240	Duplicated	SUPER_13	9124452	9129769	+	1071.6	810
4933at71240	Complete	SUPER_13	20859537	20871573	+	1848.5	980
5096at71240	Complete	SUPER_16	5544577	5549177	-	1708.6	927
5171at71240	Complete	SUPER_5	31857448	31862160	+	1600.4	930
5180at71240	Complete	SUPER_2	33712627	33718835	+	852.2	601
5218at71240	Duplicated	SUPER_15	11811058	11815283	+	1768.4	863
5218at71240	Duplicated	SUPER_2	1001601	1005894	+	1778.7	862
5269at71240	Complete	SUPER_7	12180077	12194964	+	1599.8	895
5369at71240	Complete	SUPER_4	3580420	3583071	-	1377.1	714
5402at71240	Duplicated	SUPER_9	33910807	33931252	+	1672.4	1030
5402at71240	Duplicated	SUPER_17	32953308	33056160	+	1688.4	1028
5406at71240	Complete	SUPER_17	33674422	33682295	+	1578.7	793
5407at71240	Complete	SUPER_10	42130430	42143944	-	1443.0	777
5427at71240	Complete	SUPER_10	33185325	33188408	-	1556.7	887
5504at71240	Complete	SUPER_7	22380818	22385711	-	1671.4	901
5623at71240	Complete	SUPER_12	27515105	27523056	-	1357.2	823
5633at71240	Complete	SUPER_17	2769297	2777606	+	1327.9	972
5653at71240	Complete	SUPER_2	6515626	6523760	+	1544.0	908
5656at71240	Complete	SUPER_17	24181683	24184901	-	1293.1	826
5663at71240	Duplicated	SUPER_13	12860614	12871823	+	1716.6	883
5663at71240	Duplicated	SUPER_16	13235393	13246069	+	1741.8	883
5687at71240	Duplicated	SUPER_6	23937475	23945608	+	1203.6	1024
5687at71240	Duplicated	SUPER_14	18956244	18964249	+	1236.0	1036
5699at71240	Duplicated	SUPER_14	6952054	6960409	-	1604.5	837
5699at71240	Duplicated	SUPER_17	7086640	7094807	+	1615.0	837
5730at71240	Complete	SUPER_9	9580474	9583698	-	1468.6	844
5943at71240	Complete	SUPER_12	8575962	8586949	+	982.2	804
6058at71240	Complete	SUPER_4	4163273	4170390	-	1648.9	971
6130at71240	Complete	SUPER_5	34415622	34421443	+	1111.6	838
6146at71240	Complete	SUPER_5	35043059	35060249	+	1559.7	1066
6220at71240	Complete	SUPER_4	29803502	29835517	-	1629.8	995
6428at71240	Duplicated	SUPER_8	26761060	26766456	+	1430.2	837
6428at71240	Duplicated	SUPER_15	49303236	49308495	+	1488.1	887
6441at71240	Complete	SUPER_14	10226238	10240937	-	1549.8	1075
6442at71240	Complete	SUPER_7	1064624	1071675	+	1100.7	861
6496at71240	Duplicated	SUPER_5	38629160	38636392	-	1290.4	770
6496at71240	Duplicated	SUPER_10	35332187	35345532	-	1295.8	765
6528at71240	Complete	SUPER_15	14538876	14549048	+	1322.2	884
6543at71240	Complete	SUPER_10	32712968	32716135	-	1428.1	842
6642at71240	Duplicated	SUPER_14	25943376	25953460	-	1445.2	847
6642at71240	Duplicated	SUPER_6	30737558	30748002	-	1569.7	858
6650at71240	Duplicated	SUPER_9	14187317	14195553	-	946.0	788
6650at71240	Duplicated	SUPER_17	14847975	14857279	+	1020.3	766
6688at71240	Complete	SUPER_12	13842334	13852346	-	1452.1	806
6689at71240	Complete	SUPER_1	19064967	19073950	-	1254.5	723
6786at71240	Complete	SUPER_6	31085431	31088664	-	1587.7	804
6800at71240	Duplicated	SUPER_14	3889955	3902807	+	1702.4	1036
6800at71240	Duplicated	SUPER_12	4286470	4307638	+	1751.6	1043
6862at71240	Complete	SUPER_5	37412106	37419363	-	1394.5	920
6890at71240	Complete	SUPER_11	9448419	9451142	+	1234.3	785
6952at71240	Complete	SUPER_9	31812695	31831533	-	1561.3	803
6976at71240	Duplicated	SUPER_9	9302423	9306347	-	1473.4	757
6976at71240	Duplicated	SUPER_17	9718314	9722167	-	1566.0	797
7026at71240	Duplicated	SUPER_2	15274645	15284528	-	1196.5	768
7026at71240	Duplicated	SUPER_15	26464868	26474761	-	1298.5	759
7075at71240	Complete	SUPER_2	18420654	18429346	+	1881.4	1080
7149at71240	Duplicated	SUPER_15	18038426	18046135	+	1305.4	919
7149at71240	Duplicated	SUPER_2	7366088	7374213	+	1391.8	947
7249at71240	Duplicated	SUPER_1	29831626	29835397	+	1375.7	749
7249at71240	Duplicated	SUPER_1	29831626	29836186	+	1491.5	889
7309at71240	Complete	SUPER_7	1922146	1935092	+	1372.8	928
7345at71240	Complete	SUPER_8	845923	853502	+	639.4	483
7385at71240	Duplicated	SUPER_15	4653602	4664932	-	1522.8	854
7385at71240	Duplicated	SUPER_8	6317581	6335416	-	1669.6	854
7677at71240	Complete	SUPER_16	13193431	13199126	+	1633.2	1020
7711at71240	Duplicated	SUPER_4	19459808	19465516	+	1306.0	913
7711at71240	Duplicated	SUPER_12	20188417	20193940	+	1312.8	916
7858at71240	Complete	SUPER_4	1608459	1620996	+	1657.1	1134
7892at71240	Complete	SUPER_16	3405661	3415792	-	1397.5	874
7941at71240	Complete	SUPER_12	4612904	4616050	-	1322.6	807
7979at71240	Duplicated	SUPER_17	16596657	16603577	-	1413.2	865
7979at71240	Duplicated	SUPER_9	15429017	15435754	-	1476.3	872
8000at71240	Complete	SUPER_4	2217919	2224077	-	1445.9	1032
8041at71240	Complete	SUPER_16	10475621	10482296	+	1208.7	882
8091at71240	Duplicated	SUPER_1	19579521	19584098	+	1339.0	869
8091at71240	Duplicated	SUPER_7	24780960	24785649	+	1374.2	870
8165at71240	Duplicated	SUPER_6	23965945	23971420	+	1409.8	745
8165at71240	Duplicated	SUPER_14	18988384	18993780	+	1425.6	746
8181at71240	Duplicated	SUPER_3	6404375	6410346	+	1287.9	696
8181at71240	Duplicated	SUPER_11	6785499	6790831	+	1486.2	747
8294at71240	Complete	SUPER_11	3854710	3857679	+	1465.0	828
8311at71240	Duplicated	SUPER_7	24786451	24793829	-	1414.8	966
8311at71240	Duplicated	SUPER_1	19584860	19592148	-	1564.8	988
8314at71240	Complete	SUPER_17	24890760	24898602	+	1271.4	704
8345at71240	Complete	SUPER_12	4279519	4286093	-	1545.8	802
8379at71240	Complete	SUPER_15	48409817	48436793	+	1465.6	1028
8485at71240	Complete	SUPER_14	509991	513161	-	1356.6	763
8517at71240	Complete	SUPER_11	39637287	39644518	-	1508.5	901
8534at71240	Complete	SUPER_7	7607590	7617994	-	1220.5	873
8587at71240	Duplicated	SUPER_17	4499715	4505300	-	1615.5	863
8587at71240	Duplicated	SUPER_9	4129593	4135492	-	1660.6	893
8672at71240	Complete	SUPER_7	25048480	25054074	-	1249.5	762
8681at71240	Complete	SUPER_17	5475139	5477814	-	1210.7	694
8739at71240	Complete	SUPER_6	32809896	32821700	+	1475.4	802
8828at71240	Complete	SUPER_13	24688116	24691403	+	1398.1	913
8890at71240	Complete	SUPER_2	29037872	29046886	+	1380.9	792
9076at71240	Complete	SUPER_15	9738097	9755850	+	1312.0	762
9078at71240	Complete	SUPER_14	23711783	23717581	+	1265.5	794
9097at71240	Complete	SUPER_11	29272445	29280271	-	1474.7	784
9220at71240	Complete	SUPER_5	35664738	35671618	-	1447.5	770
9223at71240	Complete	SUPER_14	29867068	29879102	+	1439.4	881
9527at71240	Duplicated	SUPER_11	4707553	4744286	-	1148.6	767
9527at71240	Duplicated	SUPER_3	4598293	4620199	-	1272.9	824
9584at71240	Complete	SUPER_13	10865912	10872358	-	1573.4	834
9629at71240	Complete	SUPER_17	23272545	23286485	-	1186.9	691
9672at71240	Duplicated	SUPER_2	32243739	32260199	-	1292.3	708
9672at71240	Duplicated	SUPER_7	5139558	5161999	+	1418.4	752
9729at71240	Duplicated	SUPER_4	27722704	27729240	+	1122.7	729
9729at71240	Duplicated	SUPER_12	28727957	28734250	+	1250.3	752
9742at71240	Complete	SUPER_12	8993095	8998600	-	1242.1	670
